英文詞彙,詞性,中文解釋
a,det,一個；一種 (冠詞)
an,det,一個；一種 (冠詞)
ability,n,能力；才能 (名詞)
able,adj,能夠的 (形容詞) (常與be連用: be able to)
about,adv,大約 (副詞) (例如: about 500 students)
about,prep,關於 (介係詞) (例如: The film is about a small boy.)
above,adj,上述的 (形容詞)
above,adv,在上面 (副詞)
above,prep,在...之上 (介係詞)
abroad,adv,在國外；到國外 (副詞)
absent,adj,缺席的；不在的 (形容詞)
absolutely,adv,完全地；絕對地 (副詞) (例如: The movie was absolutely awful.)
accent,n,口音；腔調 (名詞) (例如: She has a beautiful French accent.)
accept,v,接受 (動詞)
acceptable,adj,可接受的 (形容詞)
access,n,進入(權)；使用(權)；通道 (名詞) (例如: disabled access, internet access, easy access to the city centre)
accident,n,意外；事故 (名詞)
accommodation,n,住宿；住所 (名詞)
accompany,v,陪伴；伴隨 (動詞)
according to,prep phr,根據；依照 (介片語)
account,n,帳戶；帳目；描述 (名詞)
accountant,n,會計師 (名詞)
accurate,adj,準確的；精確的 (形容詞)
ache,n,疼痛 (名詞)
achieve,v,達成；實現 (動詞)
achievement,n,成就；達成 (名詞)
across,adv,橫過；到對面 (副詞)
across,prep,橫越；穿過 (介係詞)
act,n,(戲劇的)一幕；法令；行為 (名詞) (例如: in the second act)
act,v,行動；扮演；表現 (動詞) (例如: to act in a play; Stop acting like a child.)
action,n,行動；動作 (名詞)
active,adj,活躍的；積極的 (形容詞)
activity,n,活動 (名詞)
actor,n,男演員 (名詞)
actress,n,女演員 (名詞)
actually,adv,實際上；真實地 (副詞) (例如: She seems a bit strict at first, but she's actually very nice.)
ad,n,廣告 (名詞) (advertisement的縮寫)
add,v,增加；添加 (動詞)
addition,n,增加；加法 (名詞) (in addition:此外)
address,n,地址；演說 (名詞)
admire,v,欽佩；欣賞 (動詞)
admission,n,入場費；承認；允許進入 (名詞) (例如: charges/cost/price admission)
admit,v,承認；允許進入 (動詞)
adult,adj,成年的 (形容詞)
adult,n,成年人 (名詞)
advance,n,進展；預先 (名詞) (例如: book in advance 預訂)
advanced,adj,先進的；高級的 (形容詞)
advantage,n,優點；優勢 (名詞)
adventure,n,冒險 (名詞)
advert,n,廣告 (名詞)
advertise,v,為...做廣告 (動詞)
advertisement,n,廣告 (名詞)
advice,n,建議；忠告 (名詞) (不可數)
advise,v,勸告；建議 (動詞)
aeroplane,n,飛機 (名詞)
affect,v,影響 (動詞)
afford,v,負擔得起 (動詞)
afraid,adj,害怕的；擔心的 (形容詞)
after,adv,之後 (副詞)
after,conj,在...之後 (連接詞)
