英文詞彙,詞性,中文解釋
a,art,一個；任一 (冠詞)
an,art,一個；任一 (用於母音前) (冠詞)
able,adj,能夠的 (形容詞) (常與be連用: be able to)
about,adv,大約 (副詞) (例如: I have about £3.)
about,prep,關於；怎麼樣 (用於建議) (介係詞) (例如: a book about animals; What about a cold drink?)
above,prep,在...上面 (介係詞)
act,v,行動；扮演 (動詞)
accident,n,意外；事故 (名詞)
across,prep,橫越；在...對面 (介係詞) (例如: The bank's across the road.)
activity,n,活動 (名詞)
actor,n,男演員 (名詞)
actually,adv,實際上；確實地 (副詞)
add,v,增加；添加 (動詞)
address,n,地址；演說 (名詞)
adult,adj,成年的 (形容詞)
adult,n,成年人 (名詞)
advanced,adj,高級的；先進的 (形容詞)
adventure,n,冒險 (名詞)
advertisement,n,廣告 (名詞)
aeroplane,n,飛機 (名詞)
afraid,adj,害怕的；擔心的 (形容詞)
after,adv,之後 (副詞)
after,prep,在...之後 (介係詞)
afternoon,n,下午 (名詞)
afterwards,adv,之後；後來 (副詞)
again,adv,再次；又 (副詞)
against,prep,反對；倚靠；對抗 (介係詞) (例如: We watched England play against France.)
age,n,年齡；時代 (名詞) (例如: I don't know his age.)
ago,adv,以前 (副詞)
agree,v,同意 (動詞) (例如: Yes, I agree with you.)
air,n,空氣；空中 (名詞) (例如: to travel by air)
airport,n,機場 (名詞)
all,det,所有的 (限定詞)
all,pron,全部 (代名詞)
all right/alright,adv,好的；沒問題 (副詞)
almost,adv,幾乎；差不多 (副詞)
alone,adj,單獨的；孤獨的 (形容詞)
alone,adv,獨自地 (副詞)
already,adv,已經 (副詞)
also,adv,也；此外 (副詞)
always,adv,總是；一直 (副詞)
a.m.,adv,上午；午前 (副詞)
amazing,adj,令人驚訝的；極好的 (形容詞)
ambulance,n,救護車 (名詞)
among,prep,在...之中 (三者或以上) (介係詞)
and,conj,和；以及；而且 (連接詞)
angry,adj,生氣的 (形容詞)
animal,n,動物 (名詞)
another,det,另一個的 (限定詞)
another,pron,另一個 (代名詞)
answer,n,答案；回答 (名詞)
answer,v,回答；回應 (動詞)
any,det,任何的 (限定詞)
any,pron,任何一個 (代名詞)
anybody,pron,任何人 (代名詞)
anyone,pron,任何人 (代名詞)
anything,pron,任何事物 (代名詞)
anyway,adv,無論如何；反正 (副詞)
anywhere,adv,任何地方 (副詞)
apartment,n,公寓套房 (名詞)
apple,n,蘋果 (名詞)
appointment,n,預約；約會 (名詞) (例如: an appointment with the doctor)
area,n,區域；地區 (名詞)
arm,n,手臂；武器 (名詞)
(a)round,adv,在周圍；四處 (副詞) (例如: to travel around)
(a)round,prep,圍繞；在...附近 (介係詞) (例如: to sit around the table)
arrive,v,到達 (動詞)
art,n,藝術；美術 (名詞)
article,n,文章；物品；冠詞 (名詞) (例如: an article about skiing)
artist,n,藝術家；畫家 (名詞)
as,prep,如同；身為 (介係詞) (例如: as good as; as soon as possible; the same as)
ask,v,問；請求 (動詞)
assistant,n,助理；助手 (名詞)
as well,adv,也；同樣地 (副詞)
as well as,prep phr,以及；也 (介詞片語)
at,prep,在 (某點、時刻) (介係詞)
at / @,n,在 (用於電子郵件地址等) (符號名詞) (例如: My email address is david@cambridgeesol.org)
at all,adv,一點也(不)；根本 (副詞) (例如: It doesn't matter at all.)
aunt,n,姑媽；姨媽；嬸嬸；伯母 (名詞)
autumn,n,秋天 (名詞)
away,adv,離開；向遠方 (副詞) (例如: He's gone away; It's two miles away.)
baby,n,嬰兒 (名詞)
back,n,背部；後面 (名詞)
back,adv,向後；回來 (副詞)
back,adj,後面的 (形容詞)
bad,adj,壞的；差的 (形容詞)
bag,n,袋子 (名詞)
ball,n,球 (名詞)
banana,n,香蕉 (名詞)
band,n,樂隊；帶子 (名詞)
bank,n,銀行 (名詞) (例如: I changed my money in the bank.)
barbecue,n,烤肉 (名詞)
baseball,n,棒球 (名詞)
basketball,n,籃球 (名詞)
bath,n,沐浴；浴缸 (名詞)
bathroom,n,浴室 (名詞)
be,v,是；在 (動詞)
beach,n,海灘 (名詞)
bear,n,熊 (名詞)
beautiful,adj,美麗的 (形容詞)
because,conj,因為 (連接詞)
become,v,變成；成為 (動詞)
bed,n,床 (名詞)
bedroom,n,臥室 (名詞)
before,adv,以前 (副詞)
before,prep,在...之前 (介係詞)
begin,v,開始 (動詞)
beginner,n,初學者 (名詞)
behind,adv,在後面 (副詞)
behind,prep,在...後面 (介係詞)
believe,v,相信 (動詞)
belong,v,屬於 (動詞)
below,prep,在...下面 (介係詞)
belt,n,腰帶；皮帶 (名詞)
between,prep,在...之間 (兩者) (介係詞)
bicycle,n,自行車；腳踏車 (名詞)
big,adj,大的 (形容詞)
bike,n,自行車；摩托車 (名詞)
bill,n,帳單；鈔票 (名詞) (例如: Can I have my bill, please?)
bird,n,鳥 (名詞)
birthday,n,生日 (名詞)
biscuit,n,餅乾 (英式) (名詞)
bit,n,一點；少量 (名詞) (例如: Just a small bit of cake, please.)
black,adj,黑色的 (形容詞)
blanket,n,毯子 (名詞)
blond(e),adj,金髮的 (形容詞)
blouse,n,女式襯衫 (名詞)
blue,adj,藍色的 (形容詞)
board,n,板子；委員會 (名詞) (例如: The teacher's writing on the (black/white)board.)
boat,n,船 (名詞)
body,n,身體 (名詞)
boil,v,煮沸；沸騰 (動詞)
book,n,書 (名詞)
book,v,預訂 (動詞)
bookshelf,n,書架 (名詞)
bookshop,n,書店 (名詞)
boot,n,靴子 (名詞) (例如: football boots)
bored,adj,感到厭煩的 (形容詞)
boring,adj,令人厭煩的；無聊的 (形容詞)
born,adj,出生的 (形容詞) (例如: I was born in Manchester.)
borrow,v,借入 (動詞) (例如: She borrowed a book from the library.)
boss,n,老闆；上司 (名詞)
both,pron,兩者都 (代名詞)
both,det,兩者的 (限定詞)
bottle,n,瓶子 (名詞)
bottom,n,底部 (名詞) (例如: at the bottom of the stairs)
bowl,n,碗 (名詞)
box,n,盒子；箱子 (名詞)
boy,n,男孩 (名詞)
brake,n,煞車 (名詞)
brake,v,煞車 (動詞)
bread,n,麵包 (名詞)
break,n,休息；中斷 (名詞) (例如: a break for lunch)
break,v,打破；弄壞 (動詞) (例如: Someone's broken the window.)
breakfast,n,早餐 (名詞)
bridge,n,橋 (名詞)
brilliant,adj,傑出的；輝煌的；極好的 (形容詞) (例如: I thought the film was brilliant!)
bring,v,帶來；拿來 (動詞)
brother,n,兄弟 (名詞)
brown,adj,棕色的；褐色的 (形容詞)
build,v,建造；建立 (動詞)
building,n,建築物 (名詞)
burger,n,漢堡 (名詞)
burn,v,燃燒；燒傷 (動詞) (例如: He has burnt his hand.)
bus,n,公車；巴士 (名詞)
business,n,商業；生意；事務 (名詞)
businessman,n,商人 (男) (名詞)
businesswoman,n,女商人 (名詞)
bus station,n,公車站；客運總站 (名詞)
bus stop,n,公車站牌 (名詞)
busy,adj,忙碌的 (形容詞)
but,conj,但是；可是 (連接詞)
butter,n,奶油 (名詞)
buy,v,買 (動詞)
by,prep,藉由；在...旁邊；不遲於 (介係詞)
cafe/café,n,咖啡館；小餐館 (名詞)
cake,n,蛋糕 (名詞)
call,v,打電話；稱呼；呼叫 (動詞) (例如: I'll call (phone) again later this afternoon.; He's called John.)
camel,n,駱駝 (名詞)
camera,n,相機 (名詞)
camp,n,營地 (名詞)
camp,v,露營 (動詞)
campsite,n,露營地 (名詞)
can,n,罐頭 (名詞)
can,v,能夠；可以 (助動詞)
canal,n,運河 (名詞)
car,n,汽車 (名詞)
card,n,卡片；紙牌 (名詞)
career,n,職業；生涯 (名詞)
careful,adj,小心的；仔細的 (形容詞) (例如：Be careful! 小心！)
carpet,n,地毯 (名詞)
carrot,n,胡蘿蔔 (名詞)
carry,v,攜帶；運送 (動詞)
cartoon,n,卡通；漫畫 (名詞)
cash,n,現金 (名詞)
cash,v,兌現 (支票等) (動詞) (例如：I'd like to cash this cheque. 我想兌現這張支票。)
castle,n,城堡 (名詞)
cat,n,貓 (名詞)
catch,v,抓住；趕上 (動詞)
cathedral,n,大教堂 (名詞)
CD,n,光碟 (名詞)
CD player,n,CD播放器 (名詞)
cent,n,分 (貨幣單位) (名詞)
centre,n,中心 (名詞)
centimetre,n,公分 (名詞)
century,n,世紀 (名詞)
certain,adj,確定的；肯定的 (形容詞) (例如：I'm certain (+ that clause) 我確定...)
certainly (not),adv,當然；無疑地 (副詞) (也用於 certainly not: 當然不)
chair,n,椅子 (名詞)
change,v,改變；更換；兌換 (動詞)
change,n,改變；零錢 (名詞)
channel,n,頻道；海峽；管道 (名詞)
chat,n,聊天；閒談 (名詞)
chatroom,n,聊天室 (名詞)
cheap,adj,便宜的 (形容詞)
check,v,檢查；核對 (動詞)
cheers!,exclam,乾杯！；謝謝！ (英式) (感嘆詞)
cheese,n,起司；乳酪 (名詞)
chemist,n,藥劑師；藥局 (英式) (名詞)
cheque,n,支票 (英式) (名詞)
chicken,n,雞；雞肉 (名詞)
child,n,小孩 (名詞)
chips,n pl,炸薯條 (英式) (複數名詞) (例如：egg and chips 蛋和薯條)
chocolate,n,巧克力 (名詞)
choose,v,選擇 (動詞)
church,n,教堂 (名詞)
cinema,n,電影院 (英式) (名詞)
circus,n,馬戲團 (名詞)
city,n,城市 (名詞)
class,n,班級；課；等級 (名詞) (例如：a language class 語言課; a first-class ticket 頭等艙票)
class member,n,班級成員 (名詞)
classical,adj,古典的 (形容詞)
classmate,n,同學 (名詞)
classroom,n,教室 (名詞)
clean,adj,乾淨的 (形容詞)
clean,v,打掃；清潔 (動詞)
clear,adj,清楚的；明白的 (形容詞) (例如：It's not clear to me. 我不太明白。)
clever,adj,聰明的；靈巧的 (形容詞)
click,v,點擊 (滑鼠) (動詞) (例如：Click here to go to our website. 點此進入我們的網站。)
climb,v,攀爬 (動詞)
clock,n,時鐘 (名詞)
close,v,關閉；結束 (動詞)
closed,adj,關閉的；不開放的 (形容詞)
close to,prep phr,靠近；接近 (介詞片語)
clothes,n pl,衣服 (總稱) (複數名詞)
cloud,n,雲 (名詞)
cloudy,adj,多雲的 (形容詞)
clown,n,小丑 (名詞)
club,n,俱樂部；社團 (名詞) (例如：to join a club 加入俱樂部)
coach,n,教練；長途巴士 (名詞) (例如：a coach trip 長途巴士旅行; a tennis coach 網球教練)
coat,n,外套；大衣 (名詞)
coffee,n,咖啡 (名詞)
cold,adj,冷的；感冒的 (形容詞)
cold,n,寒冷；感冒 (名詞)
colleague,n,同事 (名詞)
collect,v,收集；領取 (動詞)
college,n,學院；大學 (名詞)
colour,n,顏色 (名詞)
comb,n,梳子 (名詞)
come,v,來 (動詞)
comfortable,adj,舒適的 (形容詞)
company,n,公司；陪伴 (名詞) (例如：What's the name of your company? 你的公司叫什麼名字？)
competition,n,比賽；競爭 (名詞)
computer,n,電腦 (名詞)
concert,n,音樂會 (名詞)
congratulations!,exclam,恭喜！ (感嘆詞)
conversation,n,對話；談話 (名詞)
cook,n,廚師 (名詞)
cook,v,烹飪；煮 (動詞)
cooker,n,爐具；炊具 (名詞)
cool,adj,涼爽的；酷的 (形容詞) (例如：That's a cool bike! 那輛自行車很酷！)
corner,n,角落；街角 (名詞) (例如：the corner of the street 街角)
correct,adj,正確的 (形容詞)
cost,n,成本；價格 (名詞)
cost,v,花費；價值為 (動詞)
costume,n,服裝；戲服 (名詞) (例如：I forgot my swimming costume. 我忘了我的泳裝。; The dancers wore colourful costumes. 舞者穿著色彩繽紛的服裝。)
could,v,能夠；可以 (can的過去式) (助動詞)
country,n,國家；鄉村 (名詞)
countryside,n,鄉村；郊外 (名詞)
course,n,課程；一道菜；路線；當然 (名詞) (例如：a university course 大學課程; a main course 主菜; of course (not) 當然(不))
cousin,n,表(堂)兄弟姊妹 (名詞)
cow,n,母牛 (名詞)
cream,n,奶油；乳霜 (名詞)
credit card,n,信用卡 (名詞)
cross,v,橫越；交叉 (動詞) (例如：Don't cross the road here! 不要在這裡過馬路！)
crossing,n,人行橫道；渡口 (名詞) (例如：Use the crossing to cross the street. 使用人行橫道過馬路。)
crossroads,n,十字路口 (名詞)
crowd,n,人群 (名詞)
crowded,adj,擁擠的 (形容詞)
cry,v,哭；喊叫 (動詞) (例如：The baby's crying. 寶寶在哭。)
cup,n,杯子 (名詞)
cupboard,n,櫥櫃；碗櫃 (名詞)
curtains,n,窗簾 (名詞)
customer,n,顧客 (名詞)
cut,v,切；剪；割 (動詞)
cycle,v,騎自行車 (動詞)
dad(dy),n,爸爸 (名詞)
daily,adj,每日的 (形容詞)
daily,adv,每日地 (副詞)
dance,n,舞蹈 (名詞)
dance,v,跳舞 (動詞)
dancing,n,跳舞 (名詞)
danger,n,危險 (名詞)
dangerous,adj,危險的 (形容詞)
dark,adj,黑暗的；深色的 (形容詞)
date,n,日期；約會 (名詞) (例如：What's the date today? 今天是幾號？)
daughter,n,女兒 (名詞)
day,n,天；白天 (名詞)
dead,adj,死的 (形容詞)
dear,adj,親愛的；昂貴的 (形容詞) (例如：Dear Anne, 親愛的安妮,)
decide,v,決定 (動詞)
degree,n,度數；學位；程度 (名詞) (例如：The temperature's 30 degrees today. 今天氣溫30度。)
delay,n,延遲；耽擱 (名詞) (例如：There will be a delay of two hours. 會有兩小時的延遲。)
delay,v,延遲；耽擱 (動詞) (例如：The flight is delayed. 班機延誤了。)
dentist,n,牙醫 (名詞)
department,n,部門；系 (名詞)
describe,v,描述；形容 (動詞)
desk,n,書桌；辦公桌 (名詞)
diary,n,日記 (名詞)
dictionary,n,字典 (名詞)
die,v,死亡 (動詞)
difference,n,差異；不同之處 (名詞)
different,adj,不同的 (形容詞)
difficult,adj,困難的 (形容詞)
digital,adj,數位的 (形容詞)
dining room,n,飯廳 (名詞)
dinner,n,晚餐 (名詞)
dinosaur,n,恐龍 (名詞)
diploma,n,文憑；畢業證書 (名詞)
dirty,adj,髒的 (形容詞)
disco,n,迪斯可舞廳 (名詞)
discount,n,折扣 (名詞)
dish,n,盤子；一道菜 (名詞) (例如：Chicken and chips is my favourite dish. 雞肉和薯條是我最喜歡的菜。)
do,v,做；幹 (動詞)
doctor,n,醫生 (名詞)
dog,n,狗 (名詞)
dollar,n,美元 (名詞)
dolphin,n,海豚 (名詞)
door,n,門 (名詞)
dot,n,點；小圓點 (名詞) (例如：dot com 點com (用於網址))
double,adj,雙倍的；雙人的 (形容詞) (例如：a double room 雙人房)
down,adv,向下；在樓下 (副詞)
down,prep,沿著...向下 (介係詞)
download,n,下載 (名詞) (例如：Can you get these as a download? 你可以把這些以下載方式取得嗎？)
download,v,下載 (動詞) (例如：I downloaded the songs from the internet. 我從網上下載了這些歌曲。)
downstairs,adv,在樓下；往樓下 (副詞)
dragon,n,龍 (名詞)
draw,v,畫；拉；吸引 (動詞)
drawing,n,繪畫；圖畫 (名詞)
dream,n,夢；夢想 (名詞)
dream,v,做夢；夢想 (動詞)
dress,n,洋裝；服裝 (名詞)
dress,v,穿衣服 (動詞)
drink,n,飲料 (名詞)
drink,v,喝 (動詞)
drive,v,駕駛；開車 (動詞)
driving licence,n,駕照 (名詞)
drum,n,鼓 (名詞)
dry,adj,乾的；乾燥的 (形容詞)
dry,v,弄乾；變乾 (動詞)
during,prep,在...期間 (介係詞)
DVD,n,數位影碟 (名詞)
DVD player,n,DVD播放器 (名詞)
each,det,每個的 (限定詞)
each,pron,每個 (代名詞)
ear,n,耳朵 (名詞)
early,adj,早的 (形容詞)
early,adv,早地 (副詞)
earn,v,賺取；贏得 (動詞)
east,n,東方；東部 (名詞)
east,adj,東方的 (形容詞)
east,adv,向東 (副詞)
easy,adj,容易的 (形容詞)
eat,v,吃 (動詞)
egg,n,蛋 (名詞)
electric,adj,電的；用電的 (形容詞)
electricity,n,電；電力 (名詞)
elephant,n,大象 (名詞)
else,adv,其他的；另外 (副詞) (例如：Anything else? 還有其他的嗎？)
email,n,電子郵件 (名詞)
email,v,寄電子郵件 (動詞)
empty,adj,空的 (形容詞)
empty,v,倒空；使空 (動詞)
end,v,結束 (動詞)
end,n,結尾；末端 (名詞)
engine,n,引擎；發動機 (名詞)
engineer,n,工程師 (名詞)
enjoy,v,享受；喜愛 (動詞)
enough,det,足夠的 (限定詞)
enough,pron,足夠的量 (代名詞)
enter,v,進入；參加 (動詞) (例如：Are you going to enter the poster competition? 你要參加海報比賽嗎？; Please enter through the side door. 請從側門進入。)
entrance,n,入口 (名詞)
envelope,n,信封 (名詞)
euro,n,歐元 (名詞)
even,adv,甚至；即使 (副詞)
evening,n,傍晚；晚上 (名詞)
ever,adv,曾經；從來 (副詞)
every,det,每個；所有 (限定詞)
everybody,pron,每個人 (代名詞)
everyone,pron,每個人 (代名詞)
everything,pron,每樣事物；一切 (代名詞)
everywhere,adv,到處；無論何處 (副詞)
examination/exam,n,考試；檢查 (名詞)
example,n,例子；榜樣 (名詞) (例如：Look at the example first. 先看例子。; for example 例如)
excellent,adj,優秀的；極好的 (形容詞)
except,prep,除了...之外 (介係詞)
exercise,n,運動；練習 (名詞)
exercise,v,運動；鍛鍊 (動詞)
excited,adj,興奮的；激動的 (形容詞)
exciting,adj,令人興奮的；刺激的 (形容詞)
excuse,v,原諒；作為藉口 (動詞) (例如：Excuse me! 對不起！/請問！)
exhibition,n,展覽；展覽會 (名詞) (例如：art exhibition 藝術展)
exit,n,出口 (名詞)
expensive,adj,昂貴的 (形容詞)
explain,v,解釋；說明 (動詞)
explore,v,探索；探險 (動詞) (例如：When I travel, I love exploring new cities. 當我旅行時，我喜歡探索新的城市。)
explorer,n,探險家 (名詞) (例如：This book's about famous explorers. 這本書是關於著名探險家的。)
extra,det,額外的 (限定詞)
extra,adj,額外的 (形容詞)
face,n,臉；面孔 (名詞)
factory,n,工廠 (名詞)
fan,n,風扇；迷；粉絲 (名詞)
fail,v,失敗；不及格 (動詞)
fair,adj,公平的；白皙的；晴朗的 (形容詞) (例如：She has fair hair. 她有金色的頭髮。)
fall,v,落下；跌倒 (動詞)
family,n,家庭；家人 (名詞)
famous,adj,著名的 (形容詞)
far,adv,遠地 (副詞) (例如：How far is the next garage? 下一個修車廠有多遠？)
farm,n,農場 (名詞)
fashion,n,時尚；流行 (名詞)
fast,adj,快的 (形容詞)
fast,adv,快地 (副詞)
fast food,n,速食 (名詞)
fat,adj,胖的；肥的 (形容詞)
father,n,父親 (名詞)
favourite,adj,最喜愛的 (形容詞)
feel,v,感覺；覺得 (動詞) (例如：to feel well 感覺很好)
festival,n,節日；慶典 (名詞)
few,det,很少數的 (限定詞)
few,adj,很少數的 (形容詞)
field,n,田野；領域；運動場 (名詞)
fill,v,充滿；填滿 (動詞)
fill in,phr v,填寫 (表格等) (動詞片語) (例如：to fill in a form 填寫表格)
film,n,電影；影片 (名詞)
film,v,拍攝電影 (動詞)
find,v,找到；發現 (動詞)
fine,adj,好的；晴朗的；細的 (形容詞) (例如：That's fine! 那很好！; I'm fine, thank you. 我很好，謝謝你。; The weather is fine. 天氣很好。)
finish,v,完成；結束 (動詞)
fire,n,火；火災 (名詞)
first,adv,首先；第一 (副詞) (例如：First... then... 首先...然後...; John came first. 約翰第一個到。)
first,adj,第一的 (形容詞) (例如：first name 名字)
fish,n,魚；魚肉 (名詞)
fish,v,釣魚 (動詞)
fit,adj,健康的；適合的 (形容詞)
flat,n,公寓 (英式) (名詞)
flight,n,班機；飛行 (名詞)
floor,n,地板；樓層 (名詞) (例如：The bedrooms are on the first floor. 臥室在一樓。; Don't leave your clothes on the floor. 不要把衣服留在地板上。)
flower,n,花 (名詞)
fly,n,蒼蠅 (名詞)
fly,v,飛；駕駛飛機 (動詞)
fog,n,霧 (名詞)
foggy,adj,有霧的 (形容詞)
follow,v,跟隨；遵循 (動詞)
food,n,食物 (名詞)
foot,n,腳；英尺 (名詞) (例如：my right foot 我的右腳)
football,n,足球 (名詞)
for,prep,為了；給；達 (一段時間) (介係詞)
foreign,adj,外國的 (形容詞)
forest,n,森林 (名詞)
forget,v,忘記 (動詞)
fork,n,叉子 (名詞) (例如：knife and fork 刀叉)
form,n,表格；形式；形狀 (名詞) (例如：Fill in this form. 填寫這張表格。)
free,adj,自由的；免費的；空閒的 (形容詞)
fresh,adj,新鮮的 (形容詞) (例如：fresh fruit 新鮮水果)
fridge,n,冰箱 (名詞)
fried,adj,油炸的；油煎的 (形容詞)
friend,n,朋友 (名詞)
friendly,adj,友善的 (形容詞)
from,prep,從；來自 (介係詞)
front,n,前面；正面 (名詞) (例如：in the front of the train 在火車前面; Stand in front of me. 站在我前面。)
fruit,n,水果 (名詞)
fry,v,油炸；油煎 (動詞)
full (of),adj,滿的；充滿...的 (形容詞)
fun,n,樂趣；好玩的事 (名詞)
funny,adj,有趣的；好笑的；古怪的 (形容詞)
furniture,n,傢俱 (總稱，不可數) (名詞)
game,n,遊戲；比賽 (名詞)
garage,n,車庫；修車廠 (名詞)
garden,n,花園；菜園 (名詞)
gas,n,氣體；瓦斯；汽油 (美式) (名詞) (例如：a gas cooker 瓦斯爐)
gate,n,大門；登機門 (名詞)
get,v,得到；變成；到達 (動詞)
get fit,v,健身；使身體健康 (動詞片語)
get off,phr v,下車 (船、飛機等) (動詞片語) (例如：to get off the bus 下公車)
get on,phr v,上車 (船、飛機等) (動詞片語) (例如：to get on the bus 上公車)
get up,phr v,起床；站起來 (動詞片語) (例如：to get up in the morning 早上起床)
girl,n,女孩 (名詞)
give,v,給 (動詞)
glad,adj,高興的；樂意的 (形容詞)
glass,n,玻璃；玻璃杯 (名詞)
glass,adj,玻璃製的 (形容詞)
glasses,n pl,眼鏡 (複數名詞)
go,v,去；走；進行 (動詞)
go out,phr v,出去；外出 (動詞片語) (例如：Are you going out this evening? 你今晚要出去嗎？)
golf,n,高爾夫球 (名詞)
gold,n,黃金 (名詞)
gold,adj,金色的；黃金製的 (形容詞)
good,adj,好的 (形容詞)
goodbye,exclam,再見 (感嘆詞)
gram(me),n,公克 (名詞)
grandchild,n,孫子；孫女；外孫；外孫女 (名詞)
grand(d)ad,n,爺爺；外公 (名詞)
granddaughter,n,孫女；外孫女 (名詞)
